                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.4869,                 1.1465,                 1.0358,                0.38137,                0.29004,                0.28107,                0.16301,                 1.4168,                 1.0693,                 1.0445,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.4791,                 1.1412,                 1.0326,                0.38743,                0.28952,                0.28098,                0.16386,                 1.4161,                 1.0661,                 1.0431,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.4764,                 1.1419,                 1.0336,                0.38599,                 0.2896,                0.28403,                0.16683,                 1.4106,                 1.0645,                 1.0417,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.4828,                 1.1424,                 1.0304,                0.42221,                0.28225,                0.28555,                 0.1661,                 1.4114,                 1.0627,                 1.0408,               0.008515,               0.008515,               0.008515
                     77,                 1.4721,                 1.1266,                 1.0328,                0.42166,                0.29101,                0.28643,                0.16766,                 1.4096,                 1.0614,                 1.0413,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.4808,                 1.1386,                 1.0338,                0.38934,                0.29094,                0.28725,                0.16867,                 1.4084,                 1.0598,                  1.041,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.4752,                  1.132,                 1.0316,                0.36851,                0.29761,                0.28717,                0.16769,                 1.4123,                 1.0593,                 1.0425,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.4731,                 1.1312,                 1.0301,                0.40269,                0.28512,                0.28605,                0.16729,                  1.409,                 1.0595,                 1.0399,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.4757,                 1.1337,                 1.0306,                0.41091,                0.28853,                0.28674,                0.16819,                  1.408,                 1.0583,                 1.0408,               0.008416,               0.008416,               0.008416
                     82,                 1.4711,                 1.1319,                 1.0298,                 0.3917,                0.29475,                0.28772,                0.16791,                 1.4046,                  1.055,                 1.0395,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.4664,                 1.1256,                 1.0268,                0.38589,                0.28727,                0.28661,                0.16828,                 1.4029,                 1.0555,                 1.0387,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.4705,                 1.1246,                 1.0298,                0.37381,                0.29389,                0.28967,                0.16902,                 1.4018,                 1.0541,                 1.0385,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.4694,                 1.1233,                 1.0266,                0.38651,                 0.2893,                 0.2878,                 0.1678,                 1.4016,                 1.0516,                 1.0378,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.4665,                 1.1249,                 1.0284,                0.37868,                 0.2913,                0.28722,                0.16681,                    1.4,                 1.0509,                 1.0374,               0.008317,               0.008317,               0.008317
                     87,                 1.4572,                 1.1172,                 1.0259,                 0.3947,                 0.2877,                0.28868,                0.16837,                 1.3977,                 1.0515,                 1.0369,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.4582,                 1.1113,                  1.026,                0.35965,                0.29416,                0.28772,                0.16713,                 1.3998,                 1.0495,                  1.037,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.4631,                 1.1237,                 1.0274,                 0.3673,                0.30001,                0.29032,                0.16902,                 1.4001,                 1.0494,                  1.037,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.4557,                 1.1158,                 1.0305,                0.37299,                0.29787,                0.29064,                0.16944,                 1.3984,                 1.0481,                 1.0358,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.4675,                 1.1129,                 1.0248,                 0.3838,                0.29677,                0.29372,                0.17225,                 1.3976,                 1.0481,                  1.036,               0.008218,               0.008218,               0.008218
                     92,                 1.4598,                 1.1144,                 1.0268,                0.38534,                0.29647,                0.29276,                0.17133,                 1.3967,                 1.0467,                 1.0354,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.4602,                  1.115,                  1.027,                0.40538,                0.29776,                0.29324,                0.17102,                 1.3946,                 1.0455,                 1.0341,              0.0081784,              0.0081784,              0.0081784
                     94,                 1.4571,                 1.1129,                 1.0232,                0.38798,                0.29335,                0.29225,                0.17056,                 1.3958,                 1.0451,                  1.035,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.4582,                 1.1126,                 1.0284,                0.38466,                0.29606,                0.29302,                0.17117,                 1.3946,                  1.045,                 1.0341,              0.0081388,              0.0081388,              0.0081388
                     96,                 1.4575,                 1.1133,                 1.0277,                0.37887,                0.29867,                0.29289,                0.17122,                  1.394,                 1.0441,                 1.0338,               0.008119,               0.008119,               0.008119
                     97,                 1.4513,                  1.103,                 1.0219,                 0.3675,                0.30084,                0.29263,                0.17041,                 1.3914,                 1.0431,                 1.0331,              0.0080992,              0.0080992,              0.0080992
                     98,                 1.4564,                 1.1105,                 1.0232,                0.38944,                0.30011,                0.29379,                0.17176,                 1.3906,                 1.0424,                 1.0333,              0.0080794,              0.0080794,              0.0080794
                     99,                  1.451,                 1.1062,                 1.0236,                0.37873,                0.30465,                0.29408,                0.17221,                 1.3896,                 1.0415,                 1.0323,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.4682,                 1.1117,                 1.0248,                0.37278,                0.30362,                0.29464,                0.17265,                 1.3874,                 1.0399,                 1.0323,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.4527,                 1.1069,                 1.0233,                0.38772,                0.30561,                0.29572,                0.17246,                 1.3859,                  1.039,                 1.0315,                0.00802,                0.00802,                0.00802
                    102,                 1.4534,                 1.1055,                 1.0219,                0.37318,                0.30861,                0.29611,                0.17275,                 1.3866,                 1.0377,                 1.0312,              0.0080002,              0.0080002,              0.0080002
                    103,                 1.4551,                 1.1027,                 1.0215,                0.38233,                0.30674,                0.29609,                 0.1726,                  1.386,                 1.0368,                 1.0312,              0.0079804,              0.0079804,              0.0079804
                    104,                 1.4526,                 1.1021,                 1.0257,                0.38204,                0.31098,                0.29604,                0.17209,                 1.3863,                 1.0362,                 1.0316,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.4421,                 1.0902,                 1.0218,                0.37248,                0.31061,                0.29737,                0.17349,                 1.3848,                 1.0355,                 1.0315,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.4469,                 1.0994,                 1.0206,                0.37773,                0.31119,                0.29656,                0.17367,                 1.3857,                 1.0357,                 1.0319,               0.007921,               0.007921,               0.007921
                    107,                 1.4374,                 1.0846,                 1.0204,                0.37181,                0.30971,                0.29697,                0.17338,                 1.3853,                 1.0353,                 1.0321,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.4454,                 1.0965,                   1.02,                0.38099,                 0.2946,                0.29559,                0.17268,                 1.3831,                 1.0345,                 1.0313,              0.0078814,              0.0078814,              0.0078814
                    109,                  1.442,                 1.0907,                 1.0186,                0.37447,                0.29612,                0.29527,                0.17273,                 1.3817,                 1.0334,                 1.0306,              0.0078616,              0.0078616,              0.0078616
                    110,                 1.4329,                 1.0844,                 1.0196,                0.37203,                0.29889,                0.29556,                0.17336,                 1.3819,                 1.0332,                 1.0309,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.4405,                 1.0895,                   1.02,                0.37755,                  0.299,                0.29592,                0.17361,                 1.3821,                 1.0328,                 1.0308,               0.007822,               0.007822,               0.007822
                    112,                 1.4437,                 1.0927,                 1.0203,                  0.372,                0.29716,                0.29601,                0.17416,                 1.3832,                 1.0323,                 1.0311,              0.0078022,              0.0078022,              0.0078022
                    113,                 1.4314,                 1.0855,                 1.0206,                 0.3844,                0.29832,                0.29653,                 0.1746,                 1.3812,                 1.0311,                 1.0305,              0.0077824,              0.0077824,              0.0077824
                    114,                 1.4421,                 1.0911,                 1.0175,                0.38119,                0.30093,                0.29758,                0.17547,                 1.3794,                 1.0294,                 1.0295,              0.0077626,              0.0077626,              0.0077626
                    115,                  1.435,                 1.0804,                 1.0179,                 0.3798,                0.30377,                0.29877,                0.17582,                 1.3792,                 1.0292,                 1.0293,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.4376,                  1.087,                 1.0192,                0.38463,                0.30699,                0.29906,                0.17582,                 1.3798,                 1.0285,                 1.0291,               0.007723,               0.007723,               0.007723
                    117,                 1.4314,                 1.0796,                 1.0148,                0.38556,                0.30769,                0.29928,                0.17566,                 1.3799,                 1.0279,                 1.0292,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.4314,                 1.0793,                  1.015,                0.38795,                  0.308,                0.29862,                0.17487,                 1.3797,                 1.0273,                 1.0289,              0.0076834,              0.0076834,              0.0076834
                    119,                 1.4391,                 1.0845,                 1.0166,                0.38249,                0.30768,                0.29856,                0.17473,                 1.3787,                 1.0267,                 1.0284,              0.0076636,              0.0076636,              0.0076636
                    120,                 1.4304,                 1.0777,                 1.0194,                0.37981,                0.30783,                0.29931,                0.17514,                 1.3771,                 1.0254,                 1.0279,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.4296,                 1.0792,                 1.0172,                0.37681,                0.30717,                0.29929,                0.17518,                 1.3767,                 1.0254,                  1.028,               0.007624,               0.007624,               0.007624
                    122,                 1.4425,                 1.0784,                 1.0164,                0.37888,                0.30823,                 0.2999,                0.17536,                 1.3773,                 1.0252,                 1.0283,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.4286,                 1.0732,                 1.0168,                0.37875,                0.30571,                0.29908,                0.17492,                 1.3775,                 1.0254,                 1.0283,              0.0075844,              0.0075844,              0.0075844
                    124,                 1.4384,                 1.0846,                 1.0179,                0.38391,                0.31033,                0.29944,                0.17478,                 1.3775,                 1.0254,                 1.0284,              0.0075646,              0.0075646,              0.0075646
                    125,                  1.431,                 1.0742,                 1.0168,                0.38201,                0.31206,                 0.2999,                0.17517,                 1.3767,                 1.0251,                 1.0281,              0.0075448,              0.0075448,              0.0075448
                    126,                 1.4318,                 1.0736,                 1.0149,                0.38029,                0.31654,                0.30048,                0.17566,                 1.3763,                 1.0245,                  1.028,               0.007525,               0.007525,               0.007525
                    127,                 1.4381,                 1.0811,                 1.0185,                0.38226,                0.31501,                0.30014,                0.17557,                  1.377,                 1.0249,                 1.0283,              0.0075052,              0.0075052,              0.0075052
                    128,                 1.4254,                 1.0715,                 1.0141,                0.37768,                0.31804,                0.30041,                0.17581,                  1.377,                 1.0246,                 1.0282,              0.0074854,              0.0074854,              0.0074854
                    129,                 1.4169,                 1.0641,                 1.0132,                0.38139,                0.31423,                0.30061,                0.17608,                 1.3767,                 1.0239,                  1.028,              0.0074656,              0.0074656,              0.0074656
                    130,                 1.4275,                 1.0683,                 1.0143,                0.38723,                0.31274,                0.30047,                0.17591,                 1.3764,                 1.0232,                 1.0278,              0.0074458,              0.0074458,              0.0074458
                    131,                 1.4221,                 1.0719,                 1.0135,                0.38313,                0.31463,                0.30072,                0.17598,                 1.3757,                  1.023,                 1.0274,               0.007426,               0.007426,               0.007426
                    132,                 1.4268,                 1.0726,                 1.0139,                0.38574,                 0.3162,                0.30087,                0.17614,                 1.3753,                 1.0229,                 1.0276,              0.0074062,              0.0074062,              0.0074062
                    133,                 1.4216,                 1.0641,                 1.0153,                0.38759,                 0.3148,                0.30077,                0.17622,                 1.3761,                 1.0224,                 1.0277,              0.0073864,              0.0073864,              0.0073864
                    134,                 1.4281,                 1.0686,                 1.0155,                0.38526,                0.31546,                0.30086,                0.17626,                 1.3761,                  1.022,                 1.0277,              0.0073666,              0.0073666,              0.0073666
                    135,                 1.4237,                 1.0672,                 1.0139,                0.38292,                0.31462,                0.30111,                0.17654,                 1.3758,                 1.0212,                 1.0277,              0.0073468,              0.0073468,              0.0073468
                    136,                 1.4216,                 1.0638,                  1.014,                0.37856,                0.31821,                0.30134,                0.17671,                 1.3749,                 1.0205,                 1.0274,               0.007327,               0.007327,               0.007327
                    137,                 1.4266,                 1.0637,                 1.0137,                0.37396,                0.31906,                0.30135,                0.17665,                 1.3742,                 1.0201,                 1.0271,              0.0073072,              0.0073072,              0.0073072
                    138,                 1.4178,                 1.0632,                 1.0119,                0.37832,                0.32043,                0.30186,                0.17707,                 1.3737,                 1.0194,                  1.027,              0.0072874,              0.0072874,              0.0072874
                    139,                 1.4217,                 1.0676,                  1.013,                0.37443,                0.32098,                0.30236,                0.17731,                 1.3734,                 1.0184,                 1.0266,              0.0072676,              0.0072676,              0.0072676
                    140,                 1.4152,                 1.0563,                 1.0099,                0.37552,                 0.3232,                0.30296,                0.17765,                 1.3723,                  1.018,                 1.0264,              0.0072478,              0.0072478,              0.0072478
                    141,                 1.4138,                 1.0546,                 1.0116,                0.37444,                0.32236,                0.30305,                0.17772,                 1.3715,                 1.0175,                  1.026,               0.007228,               0.007228,               0.007228
                    142,                 1.4271,                 1.0647,                 1.0099,                0.37601,                 0.3222,                0.30308,                0.17772,                 1.3711,                 1.0171,                  1.026,              0.0072082,              0.0072082,              0.0072082
                    143,                 1.4312,                 1.0687,                  1.011,                0.37383,                 0.3202,                0.30305,                0.17761,                 1.3711,                 1.0168,                 1.0262,              0.0071884,              0.0071884,              0.0071884
                    144,                 1.4141,                 1.0536,                 1.0099,                0.37302,                0.32034,                0.30319,                0.17762,                 1.3707,                 1.0167,                 1.0262,              0.0071686,              0.0071686,              0.0071686
                    145,                 1.4101,                 1.0525,                  1.009,                 0.3806,                0.31579,                0.30352,                0.17783,                 1.3704,                 1.0159,                 1.0261,              0.0071488,              0.0071488,              0.0071488
                    146,                 1.4222,                 1.0582,                 1.0135,                0.38586,                0.31359,                0.30383,                0.17825,                 1.3701,                 1.0159,                 1.0259,               0.007129,               0.007129,               0.007129
                    147,                 1.4251,                 1.0653,                 1.0129,                0.38638,                0.31736,                0.30349,                0.17798,                 1.3698,                 1.0156,                 1.0256,              0.0071092,              0.0071092,              0.0071092
                    148,                 1.4202,                 1.0623,                  1.012,                 0.3878,                0.31621,                0.30364,                0.17826,                 1.3697,                 1.0156,                 1.0255,              0.0070894,              0.0070894,              0.0070894
                    149,                 1.4172,                 1.0516,                 1.0109,                0.38662,                0.31529,                0.30378,                0.17843,                 1.3696,                 1.0154,                 1.0255,              0.0070696,              0.0070696,              0.0070696
