                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.3799,                 1.0063,                0.94875,                0.42507,                0.31578,                 0.3234,                0.18968,                 1.3476,                0.99357,                0.96632,               0.005446,               0.005446,               0.005446
                     94,                 1.3769,                  1.003,                  0.947,                0.41564,                0.32618,                0.32668,                0.19143,                 1.3468,                0.99326,                0.96599,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.3755,                 1.0006,                0.94957,                0.40715,                0.32973,                0.32602,                0.19161,                 1.3483,                0.99277,                0.96536,               0.005347,               0.005347,               0.005347
                     96,                 1.3771,                 1.0058,                0.94937,                0.42473,                0.32443,                0.32597,                0.19179,                 1.3488,                0.99206,                0.96551,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.3697,                0.99587,                  0.946,                0.42263,                0.32466,                0.32543,                0.19163,                 1.3477,                0.99015,                0.96505,               0.005248,               0.005248,               0.005248
                     98,                 1.3758,                 1.0002,                0.94662,                0.42545,                0.32363,                0.32687,                 0.1922,                 1.3463,                0.98929,                0.96495,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.3717,                0.99791,                0.94723,                0.42589,                0.31861,                0.32693,                0.19277,                 1.3455,                  0.989,                0.96501,               0.005149,               0.005149,               0.005149
                    100,                 1.3887,                  1.004,                0.94905,                0.40709,                0.32926,                0.32726,                  0.193,                  1.345,                  0.989,                0.96508,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.3711,                0.99693,                0.94584,                0.41685,                0.32171,                0.32709,                0.19224,                 1.3458,                0.98928,                0.96544,                0.00505,                0.00505,                0.00505
                    102,                 1.3723,                0.99715,                0.94471,                0.42726,                0.31954,                 0.3274,                0.19274,                 1.3461,                0.98913,                0.96546,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.3726,                0.99527,                0.94493,                 0.4416,                0.31535,                0.32765,                0.19239,                 1.3447,                0.98723,                0.96483,               0.004951,               0.004951,               0.004951
